Lil' B's dad,Arodo,Dawn of crytpo,JN,Zaclele,Numanuma,DollarBillClinton,Mati Roy,SquatBandit,Big Swinging Donkey,CryptoElite,Kryptonite,🔝 🎩 🤠,Shopolopoulopoulos,HotBatTakesTheCake,stooart,LONG ETH,Jho,Choukilele,mc_scrad,LONG BTC,Felicia Bootylicious
7.838461233,9.402840123,6.651990001,4.992387903,-1.699047586,23.56969174,18.78764652,10.20192111,13.70288343,16.07964631,8.176215061,39.24698306,12.04328134,12.04328134,38.30651873,22.8343102,22.88730414,16.67481823,11.91141515,19.25819662,4.131866791,4.131866791
7.855386094,9.456563466,6.661690121,5.001394252,-1.749917764,23.71729086,18.91239934,10.25797028,13.7682227,16.16581235,8.234934326,39.5420604,12.10792684,12.10792684,38.59575257,23.00301615,23.0578825,16.78479831,11.98381958,19.38407745,4.142505199,4.142505199
7.869738288,9.508017748,6.669131874,5.008729351,-1.801392645,23.85954382,19.03305887,10.31152344,13.83000601,16.2479544,8.292064073,39.8296377,12.16960349,12.16960349,38.87758841,23.16724519,23.22393784,16.89114649,12.05346711,19.50573597,4.151832526,4.151832526
7.881538434,9.557219734,6.674335584,5.014407226,-1.853465817,23.9964907,19.14965511,10.36260023,13.88826384,16.32610228,8.34761999,40.10977859,12.22833548,12.22833548,39.15208332,23.32703326,23.38550264,16.99389045,12.12037844,19.62320439,4.159859366,4.159859366
7.890807148,9.60418619,6.677321575,5.0184419,-1.906130868,24.12817156,19.26221806,10.41122028,13.94302669,16.40028586,8.401617767,40.38254673,12.28414702,12.28414702,39.41929437,23.48241631,23.54260941,17.09305782,12.18457425,19.73651492,4.166596313,4.166596313
7.897565047,9.648933881,6.678110169,5.020847398,-1.959381383,24.25462646,19.37077773,10.45740321,13.99432507,16.47053496,8.454073095,40.64800574,12.3370623,12.3370623,39.67927862,23.63343027,23.69529065,17.18867628,12.24607525,19.84569979,4.172053962,4.172053962
7.90183275,9.691479571,6.676721691,5.021637744,-2.013210951,24.37589547,19.47536413,10.50116868,14.04218945,16.53687944,8.505001663,40.90621926,12.3871055,12.3871055,39.93209316,23.78011108,23.84357886,17.28077348,12.30490213,19.9507912,4.176242905,4.176242905
7.903630872,9.731840027,6.673176464,5.020826962,-2.067613158,24.49201865,19.57600726,10.54253631,14.08665034,16.59934914,8.554419161,41.15725094,12.43430084,12.43430084,40.17779504,23.9224947,23.98750653,17.36937707,12.36107558,20.05182138,4.179173738,4.179173738
7.902980032,9.770032014,6.667494811,5.018429076,-2.122581591,24.60303607,19.67273711,10.58152573,14.12773823,16.6579739,8.602341279,41.40116441,12.47867249,12.47867249,40.41644133,24.06061705,24.12710616,17.45451471,12.41461631,20.14882254,4.180857055,4.180857055
7.899900846,9.806072296,6.659697056,5.014458111,-2.178109839,24.70898778,19.7655837,10.61815658,14.16548361,16.71278357,8.648783708,41.6380233,12.52024466,12.52024466,40.64808912,24.19451409,24.26241026,17.53621405,12.46554501,20.24182689,4.181303448,4.181303448
7.894413933,9.839977639,6.649803523,5.00892809,-2.234191488,24.80991385,19.85457703,10.65244849,14.19991698,16.76380798,8.693762136,41.86789127,12.55904155,12.55904155,40.87279546,24.32422176,24.39345132,17.61450276,12.51388238,20.33086665,4.180523514,4.180523514
7.886539908,9.871764808,6.637834534,5.001853039,-2.290820124,24.90585435,19.93974711,10.68442111,14.23106883,16.81107699,8.737292255,42.09083193,12.59508734,12.59508734,41.09061743,24.44977599,24.52026184,17.68940848,12.55964911,20.41597404,4.178527845,4.178527845
7.87629939,9.901450569,6.623810414,4.993246981,-2.347989337,24.99684933,20.02112393,10.71409406,14.25896966,16.85462042,8.779389753,42.30690895,12.62840623,12.62840623,41.30161209,24.57121273,24.64287432,17.76095888,12.6028659,20.49718128,4.175327035,4.175327035
7.863712996,9.929051686,6.607751486,4.98312394,-2.405692711,25.08293886,20.09873751,10.74148697,14.28364996,16.89446814,8.820070321,42.51618594,12.65902242,12.65902242,41.50583652,24.68856792,24.76132126,17.82918161,12.64355344,20.57452056,4.170931679,4.170931679
7.848801342,9.954584925,6.589678074,4.97149794,-2.463923836,25.16416301,20.17261784,10.76661949,14.30514023,16.93064998,8.859349649,42.71872655,12.6869601,12.6869601,41.70334778,24.80187751,24.87563515,17.89410433,12.68173243,20.64802413,4.165352371,4.165352371
7.831585047,9.978067051,6.569610501,4.958383007,-2.522676298,25.24056184,20.24279494,10.78951124,14.32347096,16.96319578,8.897243426,42.91459442,12.71224346,12.71224346,41.89420295,24.91117743,24.9858485,17.9557547,12.71742357,20.71772418,4.158599705,4.158599705
7.812084728,9.999514829,6.54756909,4.943793163,-2.581943683,25.3121754,20.30929879,10.81018187,14.33867264,16.99213539,8.933767343,43.10385319,12.73489671,12.73489671,42.07845909,25.01650362,25.09199381,18.01416036,12.75064755,20.78365294,4.150684274,4.150684274
7.790321001,10.01894502,6.523574165,4.927742434,-2.64171958,25.37904377,20.37215942,10.82865099,14.35077577,17.01749865,8.968937089,43.28656649,12.75494404,12.75494404,42.25617327,25.11789204,25.19410357,18.06934899,12.78142508,20.84584262,4.141616673,4.141616673
7.766314485,10.0363744,6.49764605,4.910244843,-2.701997576,25.44120701,20.43140682,10.84493826,14.35981084,17.03931541,9.002768355,43.46279796,12.77240963,12.77240963,42.42740257,25.21537862,25.29221029,18.12134822,12.80977683,20.90432543,4.131407497,4.131407497
7.740085795,10.05181973,6.469805068,4.891314415,-2.762771257,25.49870519,20.487071,10.8590633,14.36580835,17.0576155,9.03527683,43.63261125,12.7873177,12.7873177,42.59220406,25.3089993,25.38634645,18.17018573,12.83572352,20.9591336,4.120067338,4.120067338
7.711655551,10.06529777,6.440071543,4.870965174,-2.824034211,25.55157835,20.53918196,10.87104575,14.36879879,17.07242877,9.066478204,43.79606998,12.79969242,12.79969242,42.75063479,25.39879002,25.47654457,18.21588916,12.85928584,21.01029934,4.107606791,4.107606791
7.681044368,10.07682529,6.408465798,4.849211144,-2.885780025,25.59986658,20.58776971,10.88090525,14.36881265,17.08378507,9.096388168,43.9532378,12.809558,12.809558,42.90275185,25.48478673,25.56283714,18.25848617,12.88048448,21.05785485,4.094036451,4.094036451
7.648272865,10.08641905,6.375008156,4.826066349,-2.948002287,25.64360992,20.63286424,10.88866142,14.36588044,17.09171424,9.12502241,44.10417835,12.81693863,12.81693863,43.0486123,25.56702537,25.64525665,18.29800443,12.89934015,21.10183237,4.07936691,4.07936691
7.613361658,10.09409582,6.339718942,4.801544814,-3.010694583,25.68284845,20.67449557,10.8943339,14.36003264,17.09624611,9.152396622,44.24895526,12.82185851,12.82185851,43.18827322,25.64554188,25.72383562,18.33447157,12.91587353,21.14226411,4.063608764,4.063608764
7.576331364,10.09987236,6.302618479,4.775660562,-3.0738505,25.71762223,20.7126937,10.89794232,14.35129974,17.09741054,9.178526492,44.38763217,12.82434183,12.82434183,43.32179167,25.7203722,25.79860652,18.36791527,12.93010532,21.17918227,4.046772607,4.046772607
7.537202602,10.10376545,6.263727089,4.748427619,-3.137463626,25.74797133,20.74748863,10.89950633,14.33971225,17.09523737,9.203427712,44.52027273,12.82441278,12.82441278,43.44922471,25.79155228,25.86960188,18.39836318,12.94205622,21.21261908,4.028869031,4.028869031
7.495995988,10.10579183,6.223065098,4.719860007,-3.201527549,25.77393579,20.77891037,10.89904555,14.32530066,17.08975644,9.22711597,44.64694056,12.82209557,12.82209557,43.57062943,25.85911805,25.93685418,18.42584296,12.95174692,21.24260676,4.009908632,4.009908632
7.45273214,10.10596829,6.180652827,4.689971752,-3.266035854,25.7955557,20.80698892,10.89657962,14.30809546,17.08099759,9.249606956,44.76769931,12.81741438,12.81741438,43.68606289,25.92310547,26.00039592,18.45038225,12.95919813,21.26917751,3.989902004,3.989902004
7.407431674,10.10431158,6.136510602,4.658776878,-3.33098213,25.81287111,20.83175428,10.89212817,14.28812714,17.06899067,9.270916362,44.88261261,12.81039342,12.81039342,43.79558216,25.98355046,26.0602596,18.47200872,12.96443053,21.29236355,3.96885974,3.96885974
